,name,all artists,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y
883,The Phantom Of The Opera,"Andrew Lloyd Webber, Phantom Of The Opera Original London Cast, Michael Crawford, Sarah Brightman","broadway, show tunes, west end",west end,operatic pop,operatic pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,"Wandering Child / Bravo, Monsieur","Andrew Lloyd Webber, Phantom Of The Opera Original London Cast, Michael Crawford, Sarah Brightman, Steve Barton","broadway, show tunes, west end",west end,operatic pop,operatic pop,german show tunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,All I Ask Of You - Reprise,"Andrew Lloyd Webber, Phantom Of The Opera Original London Cast, Michael Crawford, Steve Barton, Sarah Brightman","broadway, show tunes, west end",west end,operatic pop,german show tunes,operatic pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,"Poor Fool, He Makes Me Laugh","Andrew Lloyd Webber, Phantom Of The Opera Original London Cast, Rosemary Ashe","broadway, show tunes, west end",west end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Think Of Me,"Andrew Lloyd Webber, Phantom Of The Opera Original London Cast, Rosemary Ashe, Sarah Brightman, Steve Barton","broadway, show tunes, west end",west end,,operatic pop,german show tunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,Wishing You Were Somehow Here Again,"Andrew Lloyd Webber, Phantom Of The Opera Original London Cast, Sarah Brightman","broadway, show tunes, west end",west end,operatic pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,I Remember / Stranger Than You Dreamt It,"Andrew Lloyd Webber, Phantom Of The Opera Original London Cast, Sarah Brightman, Michael Crawford","broadway, show tunes, west end",west end,operatic pop,operatic pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,Masquerade / Why So Silent,"Andrew Lloyd Webber, Phantom Of The Opera Original London Cast, Sarah Brightman, Steve Barton, Michael Crawford","broadway, show tunes, west end",west end,operatic pop,german show tunes,operatic pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Prologue,"Andrew Lloyd Webber, Phantom Of The Opera Original London Cast, Steve Barton","broadway, show tunes, west end",west end,german show tunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,All I Ask Of You,"Andrew Lloyd Webber, Phantom Of The Opera Original London Cast, Steve Barton, Sarah Brightman","broadway, show tunes, west end",west end,german show tunes,operatic pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,Starlight Express,"Andrew Lloyd Webber, “Starlight Express” Original Cast","broadway, show tunes, west end",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,The Last Time,Andrew Oldham Orchestra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,Two by Two,"Andrew Rannells, Josh Gad, Rory OMalley, Kevin Duda, Clark Johnsen, Justin Bohon, Brian Sears, Scott Barnhardt, Benjamin Schrader, Lewis Cleale, Jason Michael Snow","broadway, comic, hollywood, show tunes","hollywood, movie tunes, show tunes",show tunes,show tunes,show tunes,show tunes,show tunes,"hollywood, show tunes",show tunes,show tunes,show tunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,All-American Prophet,"Andrew Rannells, Lewis Cleale, Jared Gertner, Clark Johnsen, Benjamin Schrader, Rory OMalley, Scott Barnhardt, Graham Bowen, Justin Bohon, Kevin Duda, Jason Michael Snow, Brian Sears, Michael James Scott, Nick Spangler, Josh Gad","broadway, comic, hollywood, show tunes",show tunes,broadway,show tunes,show tunes,show tunes,"hollywood, show tunes",show tunes,show tunes,show tunes,show tunes,show tunes,broadway,show tunes,"hollywood, movie tunes, show tunes",,,,,,,,,,,,,,,,,,,,,,,,,
897,How Do I Know,"Andrew Rayel, Jano","big room, edm, moldovan pop, progressive house, trance, uplifting trance",hungarian classical performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,It's Time To Party,Andrew W.K.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,Nous Avons Fait Un Beau Voyage,André Baugé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,La rupture avec Dada / Rencontres et ruptures,"André Breton, André Parinaud",early avant garde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,Délire,André Chabro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,Cidade Maravilhosa,"André Filho, Aurora Miranda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,... Thèmes et personnages,"André Gide, Jean Amrouche",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,"Les ""Caves du Vatican""","André Gide, Jean Amrouche, Arthur Rubinstein",,,"classical, classical performance, classical piano, polish classical piano",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,Bewitched,"André Previn, Shelly Manne, Red Mitchell",orchestral performance,"bebop, cool jazz, hard bop, jazz drums",jazz double bass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,Tu Quieres Volver,"André Reyes, Chico Bouchikhi, Gipsy Kings, Jahloul Bouchikhi, Jacques Baliardo, Maurice Baliardo, N. Reyes, Nicolas Reyes, Paul Reyes, T. Baliardo, Tonino Baliardo",,,"flamenco, rumba, world",,,,,,,,flamenco guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,Inspiration,"André Reyes, Chico Bouchikhi, Jahloul Bouchikhi, Jacques Baliardo, Maurice Baliardo, N. Reyes, Nicolas Reyes, Paul Reyes, T. Baliardo, Tonino Baliardo, Gipsy Kings",,,,,,,,,,flamenco guitar,"flamenco, rumba, world",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,"Bem, Bem, Maria","André Reyes, Jahloul Bouchikhi, Jacques Baliardo, Maurice Baliardo, N. Reyes, Nicolas Reyes, Pablo Reyes, T. Baliardo, Tonino Baliardo, Gipsy Kings",,,,,,,,,flamenco guitar,"flamenco, rumba, world",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,"Edelweiß - From ""The Sound Of Music""","André Rieu, Johann Strauss Orchestra","easy listening, operatic pop, pop violin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,Elle Porte Un Nom Charmant,André Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,Mon Anisette,Andrée Turcy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,"Romanesca, ""Guardame las vacas"" (arr. for guitar)","Andrés Segovia, Alonso Mudarra","classical guitar, guitarra clasica, historic classical performance","early music, renaissance, spanish renaissance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,"L'organiste, M. 41 (arr. A. Segovia): Andantino poco allegretto","Andrés Segovia, César Franck","classical guitar, guitarra clasica, historic classical performance","classical, french romanticism, late romantic era",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,"Keyboard Sonata in C Minor, K.11/L.352/P.67 (arr. for guitar)","Andrés Segovia, Domenico Scarlatti","classical guitar, guitarra clasica, historic classical performance","baroque, classical, early music, italian baroque",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,"Lyric Pieces, Book 4, Op. 47: No. 3. Melody (arr. A. Segovia)","Andrés Segovia, Edvard Grieg","classical guitar, guitarra clasica, historic classical performance","classical, late romantic era, norwegian classical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,"String Quartet No. 60 in G Major, Op. 76, No. 1, Hob.III:75: III. Minuet (arr. A. Segovia)","Andrés Segovia, Franz Joseph Haydn","classical guitar, guitarra clasica, historic classical performance","classical, classical era",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,"Keyboard Suite No. 4 in D Minor, HWV 437: III. Saraband (arr. A. Segovia for guitar): Suite No. 4 in D Minor, HWV 437: III. Saraband (arr. A. Segovia)","Andrés Segovia, George Frideric Handel","classical guitar, guitarra clasica, historic classical performance","baroque, classical, early music, english baroque, german baroque",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,Aria detta la Frescobalda (arr. for guitar),"Andrés Segovia, Girolamo Frescobaldi","classical guitar, guitarra clasica, historic classical performance","baroque, classical, early music, italian baroque",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,Menuet (arr. A. Segovia),"Andrés Segovia, Henry Purcell","classical guitar, guitarra clasica, historic classical performance","baroque, classical, early music, english baroque",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,"Suite espanola No. 1, Op. 47: No. 5. Asturias (arr. A. Segovia)","Andrés Segovia, Isaac Albéniz","classical guitar, guitarra clasica, historic classical performance","classical, impressionism, post-romantic era",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,Minuet (arr. A. Segovia),"Andrés Segovia, Jean-Philippe Rameau","classical guitar, guitarra clasica, historic classical performance","baroque, classical, early music, french baroque, french opera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,Gigue (arr. A. Segovia),"Andrés Segovia, Johann Jakob Froberger","classical guitar, guitarra clasica, historic classical performance","baroque, german baroque",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,"Prelude in C Minor, BWV 999 (arr. A. Segovia)","Andrés Segovia, Johann Sebastian Bach","classical guitar, guitarra clasica, historic classical performance","baroque, classical, early music, german baroque",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,Galliard (arr. A. Segovia),"Andrés Segovia, John Dowland","classical guitar, guitarra clasica, historic classical performance","classical, early music, english renaissance, renaissance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,Suite in D Minor (arr. A. Segovia): VI. Bouree,"Andrés Segovia, Robert de Visée","classical guitar, guitarra clasica, historic classical performance","baroque, french baroque",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,Up,Andy B. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,"Sleep, Daddy, Sleep",Andy Blackford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,I Can't Help It,"Andy Gibb, Olivia Newton-John","adult standards, bubblegum pop, disco, mellow gold, soft rock","adult standards, australian dance, bubblegum pop, disco, mellow gold, new wave pop, soft rock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,Mary And The Soldier,"Andy Irvine, Paul Brady, Dónal Lunny, Kevin Burke","british folk, celtic, hurdy-gurdy, irish folk, laboratorio","alternative roots rock, celtic, irish folk, irish singer-songwriter",celtic,"celtic, irish fiddle, irish folk, jig and reel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,Coming In Hot,"Andy Mineo, Lecrae","christian hip hop, christian trap","ccm, christian alternative rock, christian hip hop, christian music, worship",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,The Saints,"Andy Mineo, Trip Lee, KB","christian hip hop, christian trap","christian hip hop, christian trap, dfw rap","christian hip hop, christian trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,"Softly, As I Leave You (with Claudine Williams)","Andy Williams, Claudine Williams","adult standards, brill building pop, easy listening, mellow gold",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,Halo,"Ane Brun, Linnea Olsson","melancholia, norwegian pop, norwegian singer-songwriter","cello, metropopolis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,Say Na Say Na,"Aneela Mirza, Robert Uhlmarash, Johan Bejerholm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,Japanese Boy,Aneka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,Koutsavaki,Anestos Delias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,Athinaissa,"Anestos Delias, Stratos Pagioumtzis",,rebetiko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,Con La Prensa Me Agarraron,Angel Garcia y Tino Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,Perfecta en Mis Ojos,Angel Perez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,A Lo Oscuro,"Angel Viloria Y Su Conjunto Tipico Cibaeño, Dioris Valladares",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,Na De Na,"Angel Y Khriz, Gocho El Lápiz De Platino, John Eric","latin, latin hip hop, latin pop, reggaeton, trap latino, tropical",reggaeton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,Intro,Angela Bassett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,Mousercise,Angela Eggleston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,"Be Our Guest - From ""Beauty and the Beast""/Soundtrack","Angela Lansbury, Jerry Orbach, Chorus - Beauty And the Beast","hollywood, movie tunes, show tunes","broadway, show tunes",disney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,Lay Your Troubles Down,"Angela Winbush, Ronald Isley","funk, new jack swing, post-disco, quiet storm, urban contemporary","quiet storm, urban contemporary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,Valse De Bamboula,"Angelo DeBarre, Serge Camps","gypsy jazz, jazz guitar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,"Verdi : Un ballo in maschera : Act 1 - Quadro II ""Finisci il vaticinio... O figlia d'Inghilterra"" [Riccardo, Ulrica, Samuel, Tom, Chorus, Renato, Silvano, Oscar]","Angelo Questa, Alberto Albertini, Coro di Torino della RAI, Ferruccio Tagliavini, Giuseppe Valdengo, Marco Stefanoni, Maria Erato, Orchestra Sinfonica Di Torino Della Rai, Pia Tassinari, Ruggero Maghini, Vito Susca",,,,"classical tenor, italian tenor, vintage italian pop",italian baritone,,,"italian orchestra, orchestra",italian mezzo-soprano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,More Than A Woman (feat. Calvin) - Duet w/ Calvin,"Angie Stone, C-Alvin","neo soul, r&b, soul, urban contemporary",childrens music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,Bhalobashite Diyo,Angurbala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,Aasile E Bhanga Ghare,Angurbala Devi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,Chhai Ghata Ghanghor,Anika Rizvi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,"Kabhi Jab Unki Yaad Aati Hai (From ""Namak"")","Anika Rizvi, Shyam Babu Pathak, Naresh Chandra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,Kyon Karta Murakh Asha,"Anil Biswas, Dev Kumar",classic bollywood,haryanvi pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,Suno Panchhi Ke Raag,"Anil Biswas, Jyoti, Sardar Akhtar, Surendra, Harish Bhardwaj",classic bollywood,"desi pop, modern bollywood",classic bollywood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,Gori Kahe Khadi Angana,"Anil Biswas, Maya",classic bollywood,"deathcore, djent, melodic metalcore, metalcore, technical deathcore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,Badi Door Se Aaye Hai,"Anil Biswas, Meena Kapoor",classic bollywood,classic bollywood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Mujhe Mil Jayegi Unki Umariya,"Anil Biswas, Wahidan Bai",classic bollywood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,Ei Rangamatir Deshe,Anima Dasgupta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,Kyon Hansta Hai Chand,Anima Ghosh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,Abhi Jao Bajariya Se Lao Saiyan,"Anima Ghosh, Dwijen Chowdhury",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,Raike Sajaichhe Bhale,Anima Sengupta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,Animaniacs - Opening Title,Animaniacs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,Chika Dance,AnimeHub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,When You Love Someone,"Anita Baker, James Ingram","funk, motown, neo soul, new jack swing, quiet storm, r&b, smooth jazz, soul, urban contemporary","adult standards, quiet storm, soft rock, urban contemporary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,Can't Help Lovin' Dat Man,"Anita Darian, Louise Parker, The Merrill Staton Choir",space age pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,"Bewitched, Bothered And Bewildered","Anita ODay, Billy May Orchestra","adult standards, bebop, cool jazz, jazz, lounge, stride, swing, torch song, vocal jazz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,Opus One (with Gene Krupa & His Orchestra),"Anita ODay, Gene Krupa & His Orchestra","adult standards, bebop, cool jazz, jazz, lounge, stride, swing, torch song, vocal jazz","big band, swing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,Thanks For The Boogie Ride,"Anita ODay, Gene Krupa & His Orchestra, Roy Eldridge","adult standards, bebop, cool jazz, jazz, lounge, stride, swing, torch song, vocal jazz","big band, swing","bebop, big band, cool jazz, jazz, jazz trumpet, ragtime, stride, swing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,Four Brothers,"Anita ODay, Marty Paich & His Orchestra","adult standards, bebop, cool jazz, jazz, lounge, stride, swing, torch song, vocal jazz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,You Turned The Tables On Me,"Anita ODay, Oscar Peterson Quartet","adult standards, bebop, cool jazz, jazz, lounge, stride, swing, torch song, vocal jazz",jazz quartet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,Frenesi,"Anita ODay, Russ Garcia and His Orchestra","adult standards, bebop, cool jazz, jazz, lounge, stride, swing, torch song, vocal jazz","exotica, space age pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,The Ballad Of The Sad Young Men,"Anita ODay, The Gary McFarland Orchestra","adult standards, bebop, cool jazz, jazz, lounge, stride, swing, torch song, vocal jazz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,You And The Night And The Music,"Anita ODay, The Three Sounds","adult standards, bebop, cool jazz, jazz, lounge, stride, swing, torch song, vocal jazz","hard bop, soul jazz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,Downtown,"Anitta, J Balvin","funk carioca, funk pop, pagode baiano, pop nacional","latin, reggaeton, reggaeton colombiano",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,Me Gusta (with Cardi B & Myke Towers),"Anitta, Myke Towers, Cardi B","funk carioca, funk pop, pagode baiano, pop nacional",trap latino,"pop, pop rap, rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,Yeh Kaisa Hai Dharm Tumhara,Anjali Devi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,Braja Gopi Khele Hori,Anjali Mukherjee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,Genç Osman,Ankara Radio Folk Music Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,Hum Na Rahenge Bebas,Ankush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,Bumps & Grinds,"Ann Corio, Sonny Lester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,Sleepwalk,"Ann Farina, John S. Farina, Santo A. Farina, Santo & Johnny",,,,space age pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,Never Mind Bo Peep,"Ann Jilliann, Mary McCarty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,Too Darn Hot,"Ann Miller, Bill Lee, Hal Hopper, Bob Wacker, Gene Lanham, Mac McLain, Hermes Pan, Saul Chaplin",vintage hollywood,,,,,,,tin pan alley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,"Tom, Dick or Harry","Ann Miller, Bob Fosse, Tommy Rall, Bobby Van",vintage hollywood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,Shakin' The Blues Away,"Ann Miller, The Mel-Tones, The Lyttle Sisters",vintage hollywood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,Always True to You In My Fashion,"Ann Miller, Tommy Rall",vintage hollywood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,From This Moment On,"Ann Miller, Tommy Rall, Bobby Van, Bob Fosse",vintage hollywood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,Put It On Paper - Album Version/Without Intro,"Ann Nesby, Al Green",,"classic soul, funk, memphis soul, quiet storm, soul, soul blues, southern soul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,"Love Isn't Born, It's Made","Ann Sheridan, Spike Jones Orchestra, Joyce Reynolds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,Hvor er du nu (min lille ven)?,Ann Sofi Norin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,เสียงของหัวใจ,Ann Thitima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,One Boy,"Ann-Margret, Janet Leigh, Bobby Rydell",vintage hollywood,,"adult standards, brill building pop, bubblegum pop, deep adult standards, doo-wop, merseybeat, rock-and-roll, rockabilly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,Rosie,"Ann-Margret, Janet Leigh, Bobby Rydell, Dick Van Dyke",vintage hollywood,,"adult standards, brill building pop, bubblegum pop, deep adult standards, doo-wop, merseybeat, rock-and-roll, rockabilly","hollywood, movie tunes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,A Lot of Livin' to Do,"Ann-Margret, Jesse Pearson, Bobby Rydell",vintage hollywood,,"adult standards, brill building pop, bubblegum pop, deep adult standards, doo-wop, merseybeat, rock-and-roll, rockabilly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,Hymn for a Sunday Evening,"Ann-Margret, Mary La Roche, Paul Lynde, Bryan Russell",vintage hollywood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,Kapote klapsame kai oi dio,Anna Likiardopoulou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,Something About the Sunshine,"Anna Margaret, Christopher Wilde",post-teen pop,"dance pop, post-teen pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,An Eisai Magkas,Anna Politisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,A Practical Banana Promotion,Anna Russell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,A Square Talk on Popular Music or the Decline and Fall of the Popular Song Performer,"Anna Russell, Jimmy Carroll",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Dripping with Gore,"Anna Russell, Jimmy Carroll & His Orchestra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,Utho Sulachhan Naar,Anna Saheb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,Morning Hymn / Alleluia,"Annalee, Portia Nelson, Marni Nixon, Evadne Baker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,Omigod You Guys,"Annaleigh Ashford, Delta Nus, Dequina Moore, Laura Bell Bundy, Leslie Kritzer","broadway, hollywood, show tunes",show tunes,show tunes,"broadway, country dawn, hollywood, show tunes","broadway, hollywood, show tunes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,What You Want,"Annaleigh Ashford, Dequina Moore, Kate Wetherhead, Laura Bell Bundy, Leslie Kritzer","broadway, hollywood, show tunes",show tunes,broadway,"broadway, country dawn, hollywood, show tunes","broadway, hollywood, show tunes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,Bend and Snap,"Annaleigh Ashford, Dequina Moore, Laura Bell Bundy, Legally Blonde Ensemble, Leslie Kritzer, Orfeh","broadway, hollywood, show tunes",show tunes,"broadway, country dawn, hollywood, show tunes","broadway, hollywood, show tunes","broadway, hollywood, show tunes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,Positive,"Annaleigh Ashford, Dequina Moore, Legally Blonde Greek Chorus, Laura Bell Bundy, Leslie Kritzer","broadway, hollywood, show tunes",show tunes,show tunes,"broadway, country dawn, hollywood, show tunes","broadway, hollywood, show tunes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,Song from Moulin Rouge,"Anne Lloyd, Jimmy Carroll",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,Vaya Con Dios,"Anne Lloyd, Larry Clinton",,"big band, swing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,Till Then,"Anne Lloyd, The Carillons, Larry Clinton",,,"big band, swing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Luau Cha Cha Cha,Annette Funicello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Just a Whisper Away,"Annette Funicello, Tommy Sands",,"deep adult standards, rock-and-roll, rockabilly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,Pony,Annette Peacock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,Field Calls,Annie Grace Horn Dodson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,A Whiter Shade of Pale,"Annie Lennox, Heff Moraes","europop, folk, mellow gold, new wave pop, pop rock, soft rock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,Between The Devil And The Deep Blue Sea,"Annie Ross, Gerry Mulligan Quartet",vocal jazz,"bebop, cool jazz, hard bop, jazz, jazz quartet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
