,name,all artists,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y
25,Only You (feat. The Notorious B.I.G.) - Radio Mix,"112, The Notorious B.I.G.","atl hip hop, boy band, dance pop, gangster rap, hip pop, new jack swing, pop rap, r&b, rap, southern hip hop, urban contemporary","east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Only You (feat. The Notorious B.I.G. & Mase) - Bad Boy Remix,"112, The Notorious B.I.G., Mase","atl hip hop, boy band, dance pop, gangster rap, hip pop, new jack swing, pop rap, r&b, rap, southern hip hop, urban contemporary","east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap","alternative r&b, indie soul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Drowning (He's A Fucking Idiot),1422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Rule The World (feat. Ariana Grande),"2 Chainz, Ariana Grande","atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","pop, post-teen pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,No Lie,"2 Chainz, Drake","atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","canadian hip hop, canadian pop, hip hop, pop rap, rap, toronto rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Bigger Than You (feat. Drake & Quavo),"2 Chainz, Drake, Quavo","atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","canadian hip hop, canadian pop, hip hop, pop rap, rap, toronto rap","atl hip hop, hip hop, melodic rap, pop rap, rap, southern hip hop, trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Good Drank,"2 Chainz, Gucci Mane, Quavo","atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","atl hip hop, hip hop, melodic rap, pop rap, rap, southern hip hop, trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Birthday Song,"2 Chainz, Kanye West","atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","chicago rap, rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Feel A Way (feat. Kanye West & Brent Faiyaz),"2 Chainz, Kanye West, Brent Faiyaz","atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","chicago rap, rap","dmv rap, rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Ziploc (feat. Kevin Gates),"2 Chainz, Kevin Gates","atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","baton rouge rap, pop rap, rap, southern hip hop, trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Free Lighter (feat. Lil Uzi Vert & Chief Keef),"2 Chainz, Lil Uzi Vert, Chief Keef","atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","melodic rap, philly rap, rap, trap","chicago drill, chicago rap, drill, hip hop, pop rap, rap, southern hip hop, trap, underground hip hop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Money Maker (feat. Lil Wayne),"2 Chainz, Lil Wayne","atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","hip hop, new orleans rap, pop rap, rap, trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Quarantine Thick (feat. Mulatto),"2 Chainz, Mulatto","atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","pop r&b, trap queen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,I Luv Dem Strippers,"2 Chainz, Nicki Minaj","atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","dance pop, hip pop, pop, pop dance, pop rap, post-teen pop, queens hip hop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Feds Watching,"2 Chainz, Pharrell Williams","atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",pop rap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,YRB (feat. Rick Ross & Skooly),"2 Chainz, Rick Ross, Skooly","atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","atl trap, trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,4 AM,"2 Chainz, Travis Scott","atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",rap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Can't Go For That (feat. Lil Duval),"2 Chainz, Ty Dolla $ign, Lil Duval","atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","hip hop, pop, pop rap, r&b, trap, trap soul",hip hop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,It's A Vibe,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhené Aiko","atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","hip hop, pop, pop rap, r&b, trap, trap soul","dance pop, pop, r&b, trap, urban contemporary","alternative r&b, pop, r&b, urban contemporary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,We Own It (Fast & Furious),"2 Chainz, Wiz Khalifa","atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Save Me (feat. YoungBoy Never Broke Again),"2 Chainz, YoungBoy Never Broke Again","atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","baton rouge rap, trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,La vie (still) en rose,2 Crows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,S.I.M.P. (Squirrels in My Pants),2 Guys n the Parque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Doo Doo Brown,2 Hyped Brothers & A Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,She Got It,"2 Pistols, T-Pain, Tay Dizm","dirty south rap, pop rap, southern hip hop, trap","dance pop, hip hop, pop, pop rap, r&b, rap, southern hip hop, trap, urban contemporary",florida rap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Short Dick Man - Club Mix,"20 Fingers, Gillette","eurodance, hip house",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Lick It - 20 Fingers Radio Mix,"20 Fingers, Roula","eurodance, hip house",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,My Man (Orchestral Tracks Only),20th Century Fox Studio Orchestra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Snitches & Rats (Interlude),"21 Savage, Metro Boomin","atl hip hop, rap, trap","hip hop, pop rap, rap, southern hip hop, trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Mr. Right Now (feat. Drake),"21 Savage, Metro Boomin, Drake","atl hip hop, rap, trap","hip hop, pop rap, rap, southern hip hop, trap","canadian hip hop, canadian pop, hip hop, pop rap, rap, toronto rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,X (feat. Future),"21 Savage, Metro Boomin, Future","atl hip hop, rap, trap","hip hop, pop rap, rap, southern hip hop, trap","atl hip hop, pop rap, rap, southern hip hop, trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Snitches & Rats (feat. Young Nudy),"21 Savage, Metro Boomin, Young Nudy","atl hip hop, rap, trap","hip hop, pop rap, rap, southern hip hop, trap","rap, southern hip hop, trap, underground hip hop, vapor trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Rich Nigga Shit (feat. Young Thug),"21 Savage, Metro Boomin, Young Thug","atl hip hop, rap, trap","hip hop, pop rap, rap, southern hip hop, trap","atl hip hop, atl trap, gangster rap, melodic rap, pop rap, rap, trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Mad Stalkers,"21 Savage, Offset, Metro Boomin","atl hip hop, rap, trap","atl hip hop, hip hop, pop rap, rap, southern hip hop, trap","hip hop, pop rap, rap, southern hip hop, trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
